,Name,Location,Specialty,Picture
14,"Darius Schneider, MD","['9850 Genesee Ave.', '8851 Center Drive']",['Endocrinology'],https://images.ctfassets.net/pxcfulgsd9e2/2jdXkX6VScIFWxEgvY9jKt/6cb1c8839f3dde405faa748d49792068/schneider_darius_89577_2020.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
15,"Ronald Lieberman, MD, DPM","['501 North El Camino Real', '9850 Genesee Avenue']",['Podiatry'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
16,"Michael Morell, MD",['9850 Genesee Avenue'],"['Bariatric surgery', 'General surgery']",https://images.ctfassets.net/pxcfulgsd9e2/1n3dKVhAuSf1nBs5EshTD9/4e9a10d090bf21150aa0f12cd4d6aea6/Dr._Michael_Morell.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
17,"Colby Berger, DPM","['501 North El Camino Real', '9850 Genesee Avenue']",['Podiatry'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
18,"Christopher Kreps, DPM","['501 North El Camino Real', '9850 Genesee Avenue', '1147 East Grand Avenue']",['Podiatry'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
19,"Anoop Karippot, MD","['10672 Wexford St', '9834 Genesee Ave']","['Child and adolescent psychiatry', 'Psychiatry', 'Sleep medicine']",https://images.ctfassets.net/pxcfulgsd9e2/5InU8BZNZqvf4PA53kSXCG/db18f5e9d1325239c8e6630999b10e97/Karippot_Anoop_77806_2012.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
20,"Kristopher Downing, MD","['750 Medical Center Ct', '9834 Genesee Ave']","['Orthopedic surgery', 'Upper extremity']",https://images.ctfassets.net/pxcfulgsd9e2/20CyN4yl7yGJONsUpEx6my/eb6ff0e8335081cc22319181aa47e7ac/downing_kristopher_76956_2021.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
21,"Robert Scott, MD",['9834 Genesee Ave'],"['Pain medicine', 'Rehab/physical medicine']",https://images.ctfassets.net/pxcfulgsd9e2/FrWjeT8HXty2thF3DruDW/d9c5a83d02ef252310b4ff9173368ba1/scott_robert_60632_2018.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
22,"Neil Choplin, MD","['3939 3rd Ave', '700 W El Norte Pkwy', '9834 Genesee Ave']",['Ophthalmology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
23,"Yogita Lakhera, MD","['631 E Grand Ave', '320 Santa Fe Dr', '9834 Genesee Ave']",['Nephrology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
24,"Norman Kane, MD","['9834 Genesee Ave', '3905 Waring Rd', '6121 Paseo Del Norte']",['Orthopedic surgery'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
25,"Richmond Roeske, MD","['9834 Genesee Ave', '5330 Carroll Canyon Rd']",['Ophthalmology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
26,"James Andry, MD","['750 Medical Center Ct', '9834 Genesee Ave']",['Orthopedic surgery'],https://images.ctfassets.net/pxcfulgsd9e2/6oXD0tULoy2uLLYesCp0MS/9e1c59a7492b0e9d0073199a820c8ed0/andry_james_93783_2022.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
27,"Karo Torosian, DO","['9834 Genesee Ave', '8010 Frost St., Suite 100']",['Nephrology'],https://images.ctfassets.net/pxcfulgsd9e2/6P7VtRe50wDuE0v22jB6OT/5a98a2be41fd6506b77e9f28a89e41c2/torosian_karo_86416_2021.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
28,"Scott Simon, MD",['9834 Genesee Avenue'],['Urology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
29,"Jamie Switzer, DO",['9850 Genesee Ave'],['Family medicine'],https://images.ctfassets.net/pxcfulgsd9e2/75BbM2T3HgpH8kutS7cuLb/dfc4996d1b5105ab54333519f9e933b5/switzer_jamie_59193_2019.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
30,"Monica Perlman, MD",['9850 Genesee Ave'],['Internal medicine'],https://images.ctfassets.net/pxcfulgsd9e2/7znhG7DvIrZ8xV6da8SDio/80498166e73d93d605ea60317e9d1406/perlman_monica_54958_2023.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
31,"Chandra Spring-Robinson, DO",['9850 Genesee Ave'],['OBGYN'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
32,"Maysa Nagi, MD",['9850 Genesee Ave'],['Family medicine'],https://images.ctfassets.net/pxcfulgsd9e2/7yrKxcwkleVLCi9qnKyC7F/343000703a215c866f7537fb801d504c/morris_maisa_91201_2022.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
33,"Rhodaline Tootell, MD",['9850 Genesee Ave'],['Family medicine'],https://images.ctfassets.net/pxcfulgsd9e2/343ikUCn34mdK60SYO2PAe/fcd44c37f9a3be08007ffd769131dfd0/tootell_rhodaline_89608_2020.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
34,"Steven Pratt, MD","['9850 Genesee Ave', '504 W Mission Ave']",['Ophthalmology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
35,"Arthur Perry, MD",['9850 Genesee Ave'],['Ophthalmology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
36,"Tailun Zhao, MD","['9850 Genesee Ave', '700 West El Norte Parkway', '4344 Convoy Street', '300 South Pierce Street']",['Ophthalmology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
37,"Gregory Sahagian, MD","['9850 Genesee Ave', '6010 Hidden Valley Rd', '31515 Rancho Pueblo Rd']",['Neurology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
38,"Amy Nielsen, DO","['9850 Genesee Ave', '6010 Hidden Valley Rd']","['Neurology', 'Neurophysiology']",https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
39,"Chunyang Wang, MD","['15611 Pomerado Rd', '1955 Citracado Pkwy', '9850 Genesee Ave']",['Neurology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
40,"Stephan Chiu, MD",['9850 Genesee Ave'],['Ophthalmology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
41,"Pascal Bortz, MD",['9850 Genesee Ave'],"['Bariatric surgery', 'General surgery']",https://images.ctfassets.net/pxcfulgsd9e2/4gNpVuvnlUeWSdg4WW7oz0/6e5a05a76327e4017cd907d920330e21/bortz_pascal_92521_2021.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
42,"Sunil Bhoyrul, MD",['9850 Genesee Ave'],"['Bariatric surgery', 'General surgery']",https://images.ctfassets.net/pxcfulgsd9e2/wocdD7KsDFkkj60l3tStT/dac66b4150299247a5e2c8904f1744ea/bhoyul_sunil_72441_2021.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
43,"Keith Jackson, MD",['5405 Oberlin Dr'],['ENT (otolaryngology)'],https://images.ctfassets.net/pxcfulgsd9e2/6JR8G3ur1FYgHskzcdCyoF/b7374f4ed95d70a1165a231aa3bf1d59/jackson_keith_73325_2017.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
44,"Audrey Calzada, MD","['2390 Faraday Ave', '5405 Oberlin Dr']",['ENT (otolaryngology)'],https://images.ctfassets.net/pxcfulgsd9e2/6JZJcBA7uGrXmSniLjW7xy/9cb62da0201990981dfb3fcea16de8cd/calzada_audrey_82406_2015.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
45,"Jonathan Myer, MD",['4910 Directors Pl'],['Orthopedic surgery'],https://images.ctfassets.net/pxcfulgsd9e2/3oWxn5O1OCVBfu3TLSud88/076ae22779346cbc4a6729921e116f69/myer_jonathan_71011_2021.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
46,"Scot Youngblood, MD","['955 Lane Ave', '3750 Convoy Street', '4910 Directors Pl']",['Orthopedic surgery'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
47,"Jerrick Robker, DO",['4910 Directors Pl'],"['Hand surgery', 'Orthopedic surgery']",https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
48,"Daniel Brereton, DO","['750 Medical Center Ct', '4910 Directors Pl']",['Orthopedic surgery'],https://images.ctfassets.net/pxcfulgsd9e2/7hA4w13WcAKI7142NhHt5F/4be000a363ce8786471d27cf8f3b53fa/brereton_daniel_89452_2019.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
49,"John Grotting, MD",['4910 Directors Pl'],"['Orthopedic surgery', 'Sports medicine']",https://images.ctfassets.net/pxcfulgsd9e2/5hxBT6dsyTKRrTHud7qNhc/f108bf467639d08605ac21ebc0f072ae/grotting_john_88485_2021.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
50,"Jordan Kaplan, MD",['5720 Oberlin Drive'],['Plastic surgery'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
51,"Christina Kytasty, DO","['5330 Carroll Canyon Rd', '3939 Third Avenue']",['Ophthalmology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
52,"Catherine Sheils, MD","['3939 3rd Ave', '700 W El Norte Pkwy', '5330 Carroll Canyon Rd']",['Ophthalmology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
53,"Saiyun Hou, MD",['5348 Carroll Canyon Rd'],"['Pain medicine', 'Rehab/physical medicine']",https://images.ctfassets.net/pxcfulgsd9e2/4dFOlrxMaSKiyO6CY76TnC/793f637c53acbca15cd6bd895d01c5eb/hou_saiyun_89307_2020.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
54,"James McClurg, MD",['5830 Oberlin Dr'],"['Orthopedic surgery', 'Orthopedics - general']",https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
55,"Rishi Jindal, MD","['6386 Alvarado Court', '15708 Pomerado Road', '5643 Copley Drive']","['Hand surgery', 'Plastic surgery']",https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
56,"Michelle Liske, MD",['4340 Genesee Ave.'],['Internal medicine'],https://images.ctfassets.net/pxcfulgsd9e2/5Vq4WYdmlkwyvJ5WzWHsQx/65c071a8eb0276f01c9c903157c91028/Liske_Michelle_60425_2015.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
57,"Gary Cohen, MD","['230 Prospect Pl', '9833 Pacific Heights Blvd']",['Allergy and immunology'],https://images.ctfassets.net/pxcfulgsd9e2/3m6dSDqGOagOVsxa1AVu86/f5a9c9de12731da9f65f5df1319090e1/cohen_gary_53295_2009.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
58,"Brian First, MD",['4282 Genesee Ave'],['Internal medicine'],https://images.ctfassets.net/pxcfulgsd9e2/74StcAJwn1LHbuf0bq0w7W/144182bba19a8b37223873015f255987/first_brian_51359_2014.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
59,"Simon Ritchken, MD",['4282 Genesee Ave'],['Gastroenterology'],https://images.ctfassets.net/pxcfulgsd9e2/2Mkycg67UghRsEu30NBmML/4f5e037b5e9495bc9fa9127202a348cc/ritchken_simon_51361_2012.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
60,"Surabhi Khanna, MD",['4282 Genesee Avenue'],['Rheumatology'],https://images.ctfassets.net/pxcfulgsd9e2/6mvrSX1J3ovIhU8yKPJuda/5c2fecaeb84666d7c59c1ef06e260916/Surabhi_Khanna.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
61,"M. Michelle Hamidi, MD",['5222 Balboa Ave.'],['Family medicine'],https://images.ctfassets.net/pxcfulgsd9e2/76ODrebRQ9iuEYb2EXNsbR/b8b29a5639a061deee106e9910e63902/Hamidi_M._20Michelle_65539_2012.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
62,"Jay Sadrieh, MD",['5222 Balboa Ave'],['Pediatrics'],https://images.ctfassets.net/pxcfulgsd9e2/5uof4E9KNIfu9YTchVjhYg/d2dfb233ebd315c59a5f0083bf967acb/sadrieh_jay_57752_2013.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
63,"Ryan Viets, MD","['11199 Sorrento Valley Road', '5525 Grossmont Center Drive']","['Interventional neuroradiology', 'Neurological surgery']",https://images.ctfassets.net/pxcfulgsd9e2/1Rv4CcV8pJa1hAtUoy97Y2/9a0577ce5c18294e61f25488c0226e94/viets_ryan_80306_2019.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
64,"Vikram Udani, MD",['11199 Sorrento Valley Rd'],['Neurological surgery'],https://images.ctfassets.net/pxcfulgsd9e2/3CrBmI0znG7rlsZ4rXkqnO/c58efa22c95a40aafaeacea631556c9b/Udani_Vikram_78866_2012.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
65,"Giuseppe Ammirati, MD",['11199 Sorrento Valley Road'],"['Interventional neuroradiology', 'Neurological surgery']",https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
66,"Aaron Cho, MD",[],['Diagnostic radiology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
67,"Yadani Al-Saleh, MD",['3737 Moraga Ave'],['Internal medicine'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
68,"Bruce Lasker, MD",['3737 Moraga Ave'],['Neurology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
69,"Angelique Pillar Topaloglu, MD",['3737 Moraga Ave'],['Ophthalmology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
70,"Amir Khatami, DDS",['3805 Clairemont Drive'],"['General dentistry', 'Oral and maxillofacial surgery']",https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
71,"Ali Al-Saleh, MD",['7855 Ivanhoe Ave'],['Internal medicine'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
72,"Nicholas Canelo, MD",['7855 Ivanhoe Ave'],['Family medicine'],https://images.ctfassets.net/pxcfulgsd9e2/3HGz0b9cAOCx3fFVG3qdMA/8703373a0a1c92ccb7229b5bd40ce19e/canelo_nicholas_89607_2019.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
73,"Sanaz Missaghi-Lajvardi, MD",['10243 Genetic Center Drive'],['Family medicine'],https://images.ctfassets.net/pxcfulgsd9e2/3Y6RqADsodHVLeOL3Jw85K/7a024c5d7de9d910f30b7a017693823e/missaghi-lajvardi_sanaz_73739_2011.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
74,"Meredith Bell, DO","['525 Third Ave.', '300 Fir Street', '2020 Genesee Ave.', '5525 Grossmont Center Dr', '8933 Activity Road', '1400 E Palomar St.', '16899 W Bernardo Dr', '8701 Cuyamaca St.', '10670 Wexford St.', '10243 Genetic Center Drive']",['Family medicine'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
75,"Sonal Agrawal, MD",['10243 Genetic Center Drive'],['Pediatrics'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
76,"Juliana Jones, MD",['10243 Genetic Center Drive'],['Family medicine'],https://images.ctfassets.net/pxcfulgsd9e2/uzBmApVaevYKbuFE2dU1J/52acb54a64f446fa8d6c1472d7808e5b/Julianna_Jones.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
77,"Elika Shahkamrani, MD","['16899 W. Bernardo Drive', '10243 Genetic Center Drive']",['Internal medicine'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
78,"Uyen Trinh Nguyen, MD",['10243 Genetic Center Drive'],['Family medicine'],https://images.ctfassets.net/pxcfulgsd9e2/1POT2xs1LhmKX25TgpePBv/0e92e81efff62c1fef45088a2f844e1a/Uyen_Trinh_Nguyen__MD.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
79,"Nikita Gore, MD",['10243 Genetic Center Drive'],['Family medicine'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
80,"Jennifer Golden, DO",['10243 Genetic Center Drive'],['Family medicine'],https://images.ctfassets.net/pxcfulgsd9e2/7wnFgaNkydjnZkdmLMChBZ/77eae5469fcd80d61fbe3eb7019d320f/golden_jennifer_93154_2022.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
81,"Adam Sacks, MD",['10243 Genetic Center Drive'],['Family medicine'],https://images.ctfassets.net/pxcfulgsd9e2/5RvVz8AYTrSQpRw1mX2ED9/cae8100bd9afee648e1a1f65ad179eb1/Dr._Adam_Sacks.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
82,"Jin Lee, MD",['10243 Genetic Center Drive'],['Dermatology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
83,"Elan Newman, MD",['10243 Genetic Center Drive'],['Dermatology'],https://images.ctfassets.net/pxcfulgsd9e2/5vVOWcDVEwcf4V8MzSE5e9/b82defc2985def25f912ba3b6d668c78/newman_elan_77037_2011.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
84,"Matthew Vance, MD","['2929 Health Center Drive', '10243 Genetic Center Drive']",['Orthopedic surgery'],https://images.ctfassets.net/pxcfulgsd9e2/GzLNyjVHhkRigoRudnNSP/416920a8ef330f735a61132b09ba3c85/vance_matthew_75175_2011.jpg?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
85,"David Sheinbein, MD","['1400 E. Palomar St.', '10243 Genetic Center Drive']",['Dermatology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
86,"Christopher Barnard, MD",['10243 Genetic Center Drive'],['Dermatology'],https://images.ctfassets.net/pxcfulgsd9e2/4vtfSBGmp3LQhKtvjw2JIC/d0f2094db56d33c832190f5e281156e5/Placeholder_image.png?f=face&fit=fill&fm=webp&h=2792&q=35&w=2792
